strategy,status,avg_hold_min,best_trade_pct,losses,max_drawdown_pct,profit_factor,sharpe_ratio,total_pnl_usd,total_return_pct,total_trades,win_rate_pct,wins,worst_trade_pct,wr_ci_lower_pct
sma_long_only_price_cross,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
sma_pullback_with_previous_day_low,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
sma_trend_filter,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
sma_trend_following,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
smi_momentum_divergence,TESTED,20.0,3.39,5589,52.33,0.54,-2.56,-5228.91,-52.29,8688,35.67,3099,-2.16,34.67
solana_meme_coin_sniper_bot,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
solana_new_token_sniper,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
solana_trending_token_scanner,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
statistical_arbitrage,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
statistical_arbitrage_supply_demand_zone,TESTED,20.0,3.15,3988,53.61,0.5265,-3.17,-5361.21,-53.61,6053,34.12,2065,-2.45,32.93
statistical_arbitrage_z_score,TESTED,20.0,3.15,3722,48.83,0.5918,-0.94,-4878.65,-48.79,5732,35.07,2010,-1.98,33.84
strict_risk_controlled_position_sizing,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
supply_and_demand_wick_range,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
supply_and_demand_zone_bot,TESTED,20.0,3.15,3988,53.61,0.5265,-3.17,-5361.21,-53.61,6053,34.12,2065,-2.45,32.93
supply_demand_zone_mean_reversion,TESTED,20.0,3.15,3988,53.61,0.5265,-3.17,-5361.21,-53.61,6053,34.12,2065,-2.45,32.93
t_copula_fat_tail_statistical_arbitrage,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
time_weighted_dollar_cost_averaging_entr,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
timeality,TESTED,23.0,1.03,801,36.89,0.5338,-0.88,-3689.13,-36.89,1325,39.55,524,-2.26,36.94
trend_following_with_order_flow_confirma,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
two_down_bars_median_price_reversion,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
uncorrelated_multi_strategy_portfolio,TESTED,20.0,3.39,5589,52.33,0.54,-2.56,-5228.91,-52.29,8688,35.67,3099,-2.16,34.67
volume_based_dynamic_exit,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
volume_weighted_feature_engineering,TESTED,20.0,3.15,3728,47.34,0.6089,-0.42,-4734.11,-47.34,5730,34.94,2002,-1.78,33.71
vwap_adx_trend,TESTED,47.5,3.58,2368,48.49,0.6979,-0.13,-4848.82,-48.49,3899,39.27,1531,-2.19,37.74
vwap_double_stochastic,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
vwap_extreme_mean_reversion,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
vwap_mean_reversion,TESTED,13.1,1.78,4116,49.54,0.5056,1.06,-4953.52,-49.54,7393,44.33,3277,-2.5,43.2
weekly_low_accumulation,TESTED,20.0,4.04,4372,47.47,0.5989,1.52,-4745.03,-47.45,7289,40.02,2917,-2.5,38.9
whale_copy_trading_bot,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
whale_sweep_following,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
whale_sweep_following_with_quality_filte,TESTED,20.0,3.39,5589,52.33,0.54,-2.56,-5228.91,-52.29,8688,35.67,3099,-2.16,34.67
wta_tennis_stink_bid_bot,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
zscore_stat_arb,TESTED,4.6,1.09,10353,49.17,0.2544,4.84,-4916.59,-49.17,15041,31.17,4688,-1.21,30.43
sma_crossover,TESTED,24.7,5.11,3295,52.66,0.52,-2.48,-5265.3,-52.65,4388,24.91,1093,-1.62,23.65
