strategy,status,avg_hold_min,best_trade_pct,losses,max_drawdown_pct,profit_factor,sharpe_ratio,total_pnl_usd,total_return_pct,total_trades,win_rate_pct,wins,worst_trade_pct,wr_ci_lower_pct
solana_meme_coin_sniper_bot,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
solana_new_token_sniper,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
solana_trending_token_scanner,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
statistical_arbitrage,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
statistical_arbitrage_supply_demand_zone,TESTED,20.0,1.8,779,36.2,0.4637,-2.46,-3604.18,-36.04,1162,32.96,383,-1.34,30.3
statistical_arbitrage_z_score,TESTED,20.0,1.9,739,32.54,0.5042,0.36,-3199.88,-32.0,1105,33.12,366,-1.42,30.39
strict_risk_controlled_position_sizing,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
supply_and_demand_wick_range,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
supply_and_demand_zone_bot,TESTED,20.0,1.8,779,36.2,0.4637,-2.46,-3604.18,-36.04,1162,32.96,383,-1.34,30.3
supply_demand_zone_mean_reversion,TESTED,20.0,1.8,779,36.2,0.4637,-2.46,-3604.18,-36.04,1162,32.96,383,-1.34,30.3
t_copula_fat_tail_statistical_arbitrage,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
time_weighted_dollar_cost_averaging_entr,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
timeality,TESTED,23.7,1.02,162,5.93,0.721,6.99,-498.9,-4.99,262,38.17,100,-0.7,32.44
trend_following_with_order_flow_confirma,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
two_down_bars_median_price_reversion,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
uncorrelated_multi_strategy_portfolio,TESTED,20.0,1.8,1087,42.32,0.466,-1.45,-4150.19,-41.5,1674,35.07,587,-1.37,32.81
volume_based_dynamic_exit,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
volume_weighted_feature_engineering,TESTED,20.0,1.9,743,32.77,0.5071,0.8,-3181.27,-31.81,1105,32.76,362,-1.27,30.04
vwap_adx_trend,TESTED,47.8,1.36,458,31.24,0.5795,-5.15,-3053.02,-30.53,748,38.77,290,-1.68,35.33
vwap_double_stochastic,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
vwap_extreme_mean_reversion,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
vwap_mean_reversion,TESTED,13.1,0.78,836,33.44,0.3976,0.08,-3338.52,-33.39,1410,40.71,574,-1.07,38.17
weekly_low_accumulation,TESTED,20.0,1.25,886,37.06,0.4826,-0.8,-3705.88,-37.06,1387,36.12,501,-1.95,33.62
whale_copy_trading_bot,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
whale_sweep_following,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
whale_sweep_following_with_quality_filte,TESTED,20.0,1.8,1087,42.32,0.466,-1.45,-4150.19,-41.5,1674,35.07,587,-1.37,32.81
wta_tennis_stink_bid_bot,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
zscore_stat_arb,TESTED,4.7,0.63,2177,44.07,0.186,6.89,-4407.48,-44.07,2918,25.39,741,-0.79,23.84
sma_crossover,TESTED,25.2,3.33,661,33.8,0.493,-0.95,-3330.91,-33.31,856,22.78,195,-0.68,20.07
